course,subject,question,explanation,type,options
Pediatrics,Pulmonary & Critical Care,"<html><body><p>A male infant experiences rapid breathing and grunting shortly after birth, within the first 3 hours. He exhibits nasal flaring and rib retractions, with oxygen saturation levels appearing lower than normal. The baby is transferred to the neonatology emergency room for supplemental oxygen. Delivered at 39 weeks via cesarean section after a smooth pregnancy, he shows no other signs of illness apart from the aforementioned symptoms. There is no evidence of cyanosis or any additional irregularities.</p><p>Select the most appropriate option</p></body></html>","<html><body><p><strong>Correct Answer: A</strong></p><p>Option A is correct: this child shows classic signs of transient tachypnea of the newborn (TTN), presenting respiratory distress shortly after birth. This condition typically arises from delayed lung fluid clearance in infants and is frequently observed in preterm babies, those born via cesarean section, and infants of diabetic mothers.</p><p>Option B is incorrect: symptoms usually improve within 24-72 hours. While TTN is self-limiting, recovery generally occurs much sooner than the 1-2 weeks stated in this option.</p><p>Option C is incorrect: while the child demonstrates signs of respiratory distress such as tachypnea and nasal flaring, they are usually not severely ill. If the child appears unwell or exhausted, alternative diagnoses should be explored, known as quiet dyspnea.</p><p>Option D is incorrect: cesarean delivery poses a risk factor, as fetal lung fluid clearance is slower compared to vaginal births.</p><p>Option E is incorrect: premature infants are more likely to experience transient tachypnea than those born at term, due to faster lung fluid clearance in full-term newborns.</p></body></html>",single_choice,"[{""option"":""This is a transient  tachypnea, self-limiting"",""correct"":true},{""option"":""It takes 1-2 weeks to settle"",""correct"":false},{""option"":""Child has signs or respiratory distress and looks sick and fatigued"",""correct"":false},{""option"":""Vaginal delivery could be a risk factor"",""correct"":false},{""option"":""It is more common in children born in term compared to the ones born premature"",""correct"":false}]"
Medicine,"Renal, Urinary Systems & Electrolytes","<html><body><p>A 25-year-old female patient arrived with symptoms of painful urination, a strong need to urinate, and increased frequency. The sole outcome from her urinalysis revealed a positive result for nitrites. What does this result signify?</p></body></html>","<html><body><p><strong>The right choice is A:</strong></p><p>Nitrites can be detected in urine during infections when certain bacteria, such as <em>E. coli</em>, break down nitrates.</p><p>Option B is not accurate.</p><p><em>Candida</em> is a fungus that may lead to urinary tract infections, but it does not generate nitrites.</p><p>Option C is incorrect.</p><p>When symptoms like painful urination, urgency, and frequent need to urinate occur, the detection of nitrites in urine suggests an infection caused by <em>E. coli</em>.</p><p>Option D is not correct.</p><p>The presence of nitrites in urine indicates infection, rather than the administration of nitroglycerin.</p><p>Option E is incorrect.</p><p>Detecting nitrites in a urine sample does not signify contamination.</p></body></html>",single_choice,"[{""option"":""Infection with E. coli"",""correct"":true},{""option"":""Infection with Candida"",""correct"":false},{""option"":""No infection"",""correct"":false},{""option"":""That she took a sublingual nitroglycerin tablet within 15 minutes of providing the urine sample"",""correct"":false},{""option"":""It was not a “clean-catch” sample"",""correct"":false}]"
Medicine,Biostatistics and Epidemiology,"<html><body><p><span style=""font-weight: 400;"">In this study, you are investigating the relationship between HPV infection and cervical cancer. You evaluate 10,200 patients who have been exposed to the virus, discovering that 5,100 ultimately test positive for cervical cancer after a follow-up period of 6 years. In contrast, from a control group of 10,200 patients who have not been exposed to the virus, only 45 develop cervical cancer during the same timeframe. What is the relative risk of developing cervical cancer when exposed to HPV?</span></p></body></html>","<html><body><p><span style=""font-weight: 400;"">Answer</span><span style=""font-weight: 400;"">: </span><span style=""font-weight: 400;"">A</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">In this scenario,</span> <span style=""font-weight: 400;"">we</span> <span style=""font-weight: 400;"">need</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">determine</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">relative</span> <span style=""font-weight: 400;"">risk</span><span style=""font-weight: 400;""> (</span><span style=""font-weight: 400;"">also</span> <span style=""font-weight: 400;"">known</span> <span style=""font-weight: 400;"">as</span> <span style=""font-weight: 400;"">risk</span> <span style=""font-weight: 400;"">ratio</span><span style=""font-weight: 400;"">, </span><span style=""font-weight: 400;"">RR</span><span style=""font-weight: 400;"">), </span><span style=""font-weight: 400;"">which</span> <span style=""font-weight: 400;"">indicates</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">likelihood</span> <span style=""font-weight: 400;"">of</span> <span style=""font-weight: 400;"">an</span> <span style=""font-weight: 400;"">exposed</span> <span style=""font-weight: 400;"">individual</span> <span style=""font-weight: 400;"">contracting</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">disease</span> <span style=""font-weight: 400;"">compared</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">non</span><span style=""font-weight: 400;"">-</span><span style=""font-weight: 400;"">exposed</span> <span style=""font-weight: 400;"">individual</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">The</span> <span style=""font-weight: 400;"">formula</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">illustrated</span> <span style=""font-weight: 400;"">below</span><span style=""font-weight: 400;"">, </span><span style=""font-weight: 400;"">with</span> <span style=""font-weight: 400;"">RR</span> <span style=""font-weight: 400;"">calculated</span> <span style=""font-weight: 400;"">as</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">incidence</span> <span style=""font-weight: 400;"">in</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">exposed</span> <span style=""font-weight: 400;"">group</span> <span style=""font-weight: 400;"">divided</span> <span style=""font-weight: 400;"">by</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">rate</span> <span style=""font-weight: 400;"">in</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">unexposed</span><span style=""font-weight: 400;"">.</span></p><p><span style=""font-weight: 400;""><img src=""https://mediprep1.blob.core.windows.net/uslmestep2/question_1531731264.png?auto=format""></span></p><p><strong>Risk</strong> <strong>Ratio</strong><strong> = [</strong><strong>a</strong><strong> / (</strong><strong>a</strong><strong> + </strong><strong>b</strong><strong>)] / [</strong><strong>c</strong><strong> / (</strong><strong>c</strong><strong> + </strong><strong>d</strong><strong>)]</strong></p><p><span style=""font-weight: 400;"">Odds</span> <span style=""font-weight: 400;"">Ratio</span><span style=""font-weight: 400;""> = </span><span style=""font-weight: 400;"">ad</span><span style=""font-weight: 400;""> / </span><span style=""font-weight: 400;"">bc</span></p></body></html>",single_choice,"[{""option"":""[5000/ (5000 + 5000)] / [50 / (50 + 9950)]"",""correct"":true},{""option"":""[50 / (500 + 500)] / [5 / (995 + 995)]"",""correct"":false},{""option"":""[995 / (995 + 5)] / [500 / (500 + 500)]"",""correct"":false},{""option"":""(5000 * 995) / (500 * 5)"",""correct"":false},{""option"":""(5000 * 5) / (500 * 995)"",""correct"":false}]"
Medicine,"Renal, Urinary Systems & Electrolytes","<html><body><p>A 35-year-old woman recently treated for kidney stones schedules a follow-up appointment at the clinic. She arrives with several documents in hand. Upon reviewing her bill, she requested her medical records and was concerned to discover that her previous urinalysis indicated an unusual level of red blood cells (RBCs). However, during her visit to the gynecologist last week, a urinalysis showed fewer than 5 RBCs, prompting her to seek clarification. She reports feeling well, and her physical examination appears normal. What could be the explanation for these discrepancies?</p></body></html>","<html><body><p><strong>The right choice is C:</strong></p><p>Hematuria, which refers to the presence of red blood cells in urine, can occur alongside kidney stones and may also be observed in conditions like pyelonephritis and cystitis.</p><p>Option A is incorrect.</p><p>It is possible she might require a kidney transplant later on, but there is no indication that this will be necessary in the immediate future.</p><p>Option C is incorrect.</p><p>Given that her hematuria has resolved and she is in good health following a routine physical examination, her kidney stone is likely the cause of the hematuria.</p><p>Option D is incorrect.</p><p>Conducting a urine culture and sensitivity test would be beneficial for diagnosing a urinary tract infection, especially if the patient does not improve with antibiotic treatment in 48 to 72 hours; however, the likelihood of infection here is low.</p><p>Option E is incorrect.</p><p>There are no indications of anemia in the question, making a complete blood count unlikely to yield useful information.</p></body></html>",single_choice,"[{""option"":""She may need a kidney transplant in the future"",""correct"":false},{""option"":""Cancer is likely"",""correct"":false},{""option"":""Kidney stones can cause a temporary finding of red blood cells in the urine"",""correct"":true},{""option"":""Recommend sending a “clean catch” mid-stream urine sample for culture and sensitivity"",""correct"":false},{""option"":""A complete blood count should be checked"",""correct"":false}]"
Medicine,Cardiovascular System,"<html><body><p>A 27-year-old man enters the clinic, requesting immediate attention. He expresses anxiety after noticing a change in his tongue while brushing his teeth this morning. He reports that his tongue is neither tender nor swollen, and he experiences no difficulty swallowing. There is no history of weight loss, fever, or night sweats. His medical history includes rheumatic fever at age 15. He denies using tobacco (including smokeless), alcohol, or illicit drugs, describing himself as a ""health enthusiast."" His only supplements are a multivitamin and Vitamin C. He follows a vegan diet but reports no recent changes in eating habits, toothpaste, or mouthwash. On examination, his blood pressure is 124/76 mmHg, heart rate is 106 beats/minute, and body temperature is 97.8 degrees. A photo of his tongue is displayed below. Aside from mild anxiety, the rest of the exam is unremarkable. What is the most suitable management for this patient?</p><p><img src=""https://mediprep1.blob.core.windows.net/uslmestep2/question_1520651602.png?auto=format""></p><p></p></body></html>","<html><body><p><strong>The correct answer is E:</strong></p><p>Geographic tongue typically presents as irregular, linear white patches surrounding red areas and mucosal thinning on the tongue. This benign condition does not require treatment beyond reassurance.</p><p>Option A is incorrect.</p><p>If the patient maintains a balanced diet, he likely receives sufficient Vitamin C. Nevertheless, Vitamin C supplements do not correlate with geographic tongue.</p><p>Option B is incorrect.</p><p>Vitamin B12 injections can treat B12 deficiency, which may cause ""beefy"" glossitis, characterized by a painful, fiery red tongue. However, this case does not exhibit the classic ""beefy"" appearance.</p><p>Option C is also incorrect.</p><p>The tongue in this scenario displays the usual characteristics of geographic tongue, which does not necessitate further examination. A biopsy would reveal neutrophilic infiltration of the superficial epithelium.</p><p>Option D is incorrect.</p><p>Since geographic tongue is not infectious, it cannot be treated with oral itraconazole, which is primarily used for oral candidiasis.</p></body></html>",single_choice,"[{""option"":""Stop vitamin C supplements"",""correct"":false},{""option"":""Monthly B12 injections"",""correct"":false},{""option"":""Excisional biopsy"",""correct"":false},{""option"":""Oral itraconazole"",""correct"":false},{""option"":""Reassurance"",""correct"":true}]"
Medicine,"Renal, Urinary Systems & Electrolytes","<html><body><p>Identify the statement regarding protein in urine that is INCORRECT.</p></body></html>","<html><body><p><strong>The correct answer is C:</strong></p><p>Urine dipsticks are designed to test for albumin, not microalbumin. To assess microalbumin levels, a 24-hour urine sample is necessary. Any microalbumin level exceeding 29 mg in a 24-hour period is deemed abnormal.</p><p>Option A is not correct.</p><p>Protein presence in urine may indicate chronic kidney disease.</p><p>Option B is not correct.</p><p>Another condition linked to protein in urine is acute pyelonephritis.</p><p>Option D is not correct.</p><p>24-hour urine samples are valuable for evaluating protein excretion and creatinine clearance, as well as detecting specific hormones.</p><p>Option E is not correct.</p><p>Microalbuminuria screening is crucial for managing diabetic patients.</p></body></html>",single_choice,"[{""option"":""May indicate kidney damage"",""correct"":false},{""option"":""May be found in acute pyelonephritis"",""correct"":false},{""option"":""A urine dipstick is a good test for microalbumin (Bence-Jones protein)"",""correct"":true},{""option"":""A 24-hour urine sample can be used to detect protein and creatinine clearance"",""correct"":false},{""option"":""Screening for proteinuria is indicated in diabetes"",""correct"":false}]"
Medicine,"Renal, Urinary Systems & Electrolytes","<html><body><p>A 75-year-old man visits the clinic for his yearly check-up. He reports no specific issues but has a medical history that includes type 2 diabetes, high blood pressure, and a past duodenal ulcer. His medications include aspirin, hydrochlorothiazide, captopril, and metformin. A routine physical examination, including blood pressure, reveals no abnormalities. The following laboratory results were obtained.</p><p></p><p>Serum</p><p>Na+ 145 mEq/L</p><p>Cl− 102 mEq/L</p><p>K+ 6.1 mEq/L</p><p>HCO3− 28 mEq/L</p><p>Urea nitrogen 10 mg/dL</p><p>Creatinine 0.9 mg/dL</p><p>Thyroid-stimulating hormone 0.2 µU/mL</p><p>Hemoglobin 15 g/dL</p><p>Mean corpuscular volume 95 µm</p><p>Leukocyte count 5500/mm3</p><p>Segmented neutrophils 62%</p><p>Eosinophils 3%</p><p>Lymphocytes 25%</p><p>Monocytes 7%</p><p>Platelet count 560,000/mm3</p><p></p><p>What is the most likely cause of the elevated serum potassium levels?</p></body></html>","<html><body><p><strong>The correct choice is E:</strong></p><p>Hyperkalemia alongside normal kidney function indicates a non-renal origin, with thrombocytosis potentially causing misleading hyperkalemia due to hemolysis.</p><p></p><p>Option A is not valid.</p><p>The medical history does not indicate an aspirin overdose, and there are no related symptoms present.</p><p></p><p>Option B is also incorrect.</p><p>While Type 4 renal tubular acidosis can result in hyperkalemia, the lab findings indicate metabolic alkalosis.</p><p></p><p>Option C is ruled out.</p><p>Chronic renal insufficiency is improbable given the normal serum creatinine levels.</p><p></p><p>Option D is incorrect as well.</p><p>Normal serum thyroid-stimulating hormone levels negate the possibility of hypothyroidism.</p></body></html>",single_choice,"[{""option"":""Aspirin overdose"",""correct"":false},{""option"":""Type 4 renal tubular acidosis"",""correct"":false},{""option"":""Chronic renal insufficiency"",""correct"":false},{""option"":""Hypothyroidism"",""correct"":false},{""option"":""Thrombocytosis"",""correct"":true}]"
Medicine,Biostatistics and Epidemiology,"<html><body><p><span style=""font-weight: 400;"">A</span> <span style=""font-weight: 400;"">recent</span> <span style=""font-weight: 400;"">study</span> <span style=""font-weight: 400;"">examined</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">varying</span> <span style=""font-weight: 400;"">rates</span> <span style=""font-weight: 400;"">of</span> <span style=""font-weight: 400;"">diabetes</span> <span style=""font-weight: 400;"">among</span> <span style=""font-weight: 400;"">individuals</span> <span style=""font-weight: 400;"">following</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">standard</span> <span style=""font-weight: 400;"">western</span> <span style=""font-weight: 400;"">diet</span><span style=""font-weight: 400;"">, </span><span style=""font-weight: 400;"">compared</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">those</span> <span style=""font-weight: 400;"">adhering</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">Mediterranean</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">The</span> <span style=""font-weight: 400;"">study</span> <span style=""font-weight: 400;"">included</span> <span style=""font-weight: 400;"">6,000</span> <span style=""font-weight: 400;"">participants</span>, <span style=""font-weight: 400;"">with</span> <span style=""font-weight: 400;"">3,000</span> <span style=""font-weight: 400;"">in</span> <span style=""font-weight: 400;"">each</span> <span style=""font-weight: 400;"">group</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">Findings</span> <span style=""font-weight: 400;"">are</span> <span style=""font-weight: 400;"">detailed</span> <span style=""font-weight: 400;"">below</span><span style=""font-weight: 400;"">:</span></p><p><span style=""font-weight: 400;""><img src=""https://mediprep1.blob.core.windows.net/uslmestep2/question_1531466822.png?auto=format""></span></p><p><span style=""font-weight: 400;"">What</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">odds</span> <span style=""font-weight: 400;"">ratio</span> <span style=""font-weight: 400;"">for</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">participant</span> <span style=""font-weight: 400;"">on</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">western</span> <span style=""font-weight: 400;"">diet</span> <span style=""font-weight: 400;"">versus</span> <span style=""font-weight: 400;"">one</span> <span style=""font-weight: 400;"">following</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">Mediterranean</span> <span style=""font-weight: 400;"">diet</span><span style=""font-weight: 400;"">?</span></p></body></html>","<html><body><p><span style=""font-weight: 400;"">Response</span><span style=""font-weight: 400;"">: </span><span style=""font-weight: 400;"">C</span><span style=""font-weight: 400;""> &ndash; 4.3. </span><span style=""font-weight: 400;"">The</span> <span style=""font-weight: 400;"">odds</span> <span style=""font-weight: 400;"">ratio</span> <span style=""font-weight: 400;"">measures</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">likelihood</span> <span style=""font-weight: 400;"">of</span> <span style=""font-weight: 400;"">an</span> <span style=""font-weight: 400;"">event</span> <span style=""font-weight: 400;"">happening</span> <span style=""font-weight: 400;"">in</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">treatment</span> <span style=""font-weight: 400;"">group</span> <span style=""font-weight: 400;"">versus</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">control</span> <span style=""font-weight: 400;"">group</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">To</span> <span style=""font-weight: 400;"">compute</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">odds</span> <span style=""font-weight: 400;"">ratio,</span> <span style=""font-weight: 400;"">one</span> <span style=""font-weight: 400;"">creates</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">table</span> <span style=""font-weight: 400;"">with</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">relevant</span> <span style=""font-weight: 400;"">data,</span> <span style=""font-weight: 400;"">as</span> <span style=""font-weight: 400;"">illustrated</span> <span style=""font-weight: 400;"">below</span><span style=""font-weight: 400;"">:</span></p><p><img src=""https://mediprep1.blob.core.windows.net/uslmestep2/question_1531466870.png?auto=format""></p><p><strong>Odds</strong> <strong>ratio</strong><strong> = </strong><strong>ad</strong><strong>/</strong><strong>bc</strong><strong>.</strong></p></body></html>",single_choice,"[{""option"":""1.0"",""correct"":false},{""option"":""3.2"",""correct"":false},{""option"":""4.4"",""correct"":true},{""option"":""5.6"",""correct"":false},{""option"":""6.7"",""correct"":false}]"
Medicine,"Renal, Urinary Systems & Electrolytes","<html><body><p>A 39-year-old male visits his physician due to a persistent, dull ache in his left flank. Although he has generally been well, the discomfort has become more frequent and intense over recent weeks. His medical history is unremarkable, with no prior hospitalizations or surgeries, and he does not take any medications. He reports no allergies to food or medications. Social history reveals no smoking or alcohol consumption. Family history indicates the presence of kidney cysts. A urinalysis conducted in the office shows 4-8 RBCs per field. Vital signs include a blood pressure of 150/95 mmHg, pulse of 82 beats per minute, BMI of 26, and temperature of 36.6°C. An abdominal exam reveals tenderness in both flanks and palpable masses. An ultrasound indicates enlarged kidneys with multiple cysts of various sizes, affecting both the cortex and medulla, with no normal tissue visible between the cysts. The liver also exhibits some cysts.</p></body></html>","<html><body><p><strong>Correct Answer: A</strong></p><p>Option A is correct: this patient is diagnosed with ADPKD (autosomal dominant polycystic kidney disease). The most frequent initial symptom is flank pain, which this patient is experiencing. Hematuria may also be detected in urinalysis. There is a notable family history of cystic kidney disease, and liver cysts are prevalent. This genetic disorder is inherited in an autosomal dominant manner and typically worsens over time, with many patients requiring dialysis by the age of 62.</p><p>Option B is incorrect: while ultrasonography is highly effective for detecting cysts and enlarged kidneys, a CT scan offers greater sensitivity. Although CT can identify smaller cysts, its higher cost and radiation exposure make it less suitable as a first-line diagnostic tool for ADPKD.</p><p>Option C is incorrect: while hematuria is common, dull flank pain is the primary symptom.</p><p>Option D is incorrect: ADPKD significantly impacts lifespan and increases morbidity, with most patients needing dialysis by age 62.</p><p>Option E is incorrect: liver cysts are expected findings in this systemic condition.</p></body></html>",single_choice,"[{""option"":""The disease of this patient is a progressive systemic disease transmitted as an autosomal dominant disease"",""correct"":true},{""option"":""Ultrasonography is the most sensitive test to in this patient"",""correct"":false},{""option"":""Hematuria is the most common presenting symptom"",""correct"":false},{""option"":""The prognosis is generally good"",""correct"":false},{""option"":""Liver cysts are incidental findings in this patient"",""correct"":false}]"
Medicine,Biostatistics and Epidemiology,"<html><body><p><span style=""font-weight: 400;"">In recent developments,</span><span style=""font-weight: 400;""> a</span> <span style=""font-weight: 400;"">new</span> <span style=""font-weight: 400;"">medication for</span> <span style=""font-weight: 400;"">heart failure</span> <span style=""font-weight: 400;"">has been linked</span> <span style=""font-weight: 400;"">to an increased</span> <span style=""font-weight: 400;"">risk</span> <span style=""font-weight: 400;"">of cardiac</span> <span style=""font-weight: 400;"">death</span> <span style=""font-weight: 400;"">according to a</span> <span style=""font-weight: 400;"">large-scale</span> <span style=""font-weight: 400;"">clinical trial.</span> <span style=""font-weight: 400;"">The study initially examined the incidence of cardiac death among participants. What</span> <span style=""font-weight: 400;"">kind</span> <span style=""font-weight: 400;"">of</span> <span style=""font-weight: 400;"">study</span> <span style=""font-weight: 400;"">design</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">this?</span></p></body></html>","<html><body><p><span style=""font-weight: 400;"">Response</span><span style=""font-weight: 400;"">: </span><span style=""font-weight: 400;"">C. Cross</span><span style=""font-weight: 400;"">-</span><span style=""font-weight: 400;"">sectional</span> <span style=""font-weight: 400;"">studies</span> <span style=""font-weight: 400;"">are</span> <span style=""font-weight: 400;"">conducted</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">assess</span> <span style=""font-weight: 400;"">the</span> <span style=""font-weight: 400;"">prevalence</span> <span style=""font-weight: 400;"">of</span> <span style=""font-weight: 400;"">disease</span> <span style=""font-weight: 400;"">in</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">population</span> <span style=""font-weight: 400;"">at</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">specific</span> <span style=""font-weight: 400;"">time</span><span style=""font-weight: 400;"">.</span></p><p><span style=""font-weight: 400;"">A</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">wrong</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">In</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">randomized</span><span style=""font-weight: 400;"">-</span><span style=""font-weight: 400;"">controlled</span> <span style=""font-weight: 400;"">trial</span><span style=""font-weight: 400;"">, participants</span> <span style=""font-weight: 400;"">are</span> <span style=""font-weight: 400;"">randomly</span> <span style=""font-weight: 400;"">allocated</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">either</span> <span style=""font-weight: 400;"">treatment</span><span style=""font-weight: 400;""> or</span> <span style=""font-weight: 400;"">placebo</span> <span style=""font-weight: 400;"">groups</span> <span style=""font-weight: 400;"">for</span> <span style=""font-weight: 400;"">analysis</span><span style=""font-weight: 400;"">.</span></p><p><span style=""font-weight: 400;"">B is incorrect. A</span> <span style=""font-weight: 400;"">cohort</span> <span style=""font-weight: 400;"">study</span> <span style=""font-weight: 400;"">groups</span> <span style=""font-weight: 400;"">subjects</span> <span style=""font-weight: 400;"">into</span> <span style=""font-weight: 400;"">exposed</span> <span style=""font-weight: 400;"">and</span> <span style=""font-weight: 400;"">unexposed</span> <span style=""font-weight: 400;"">categories</span>, <span style=""font-weight: 400;"">tracking</span> <span style=""font-weight: 400;"">them</span> <span style=""font-weight: 400;"">over</span> <span style=""font-weight: 400;"">time</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">observe</span> <span style=""font-weight: 400;"">outcomes</span><span style=""font-weight: 400;"">.</span></p><p><span style=""font-weight: 400;"">D</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">incorrect</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">Case</span><span style=""font-weight: 400;"">-</span><span style=""font-weight: 400;"">control</span> <span style=""font-weight: 400;"">studies</span> <span style=""font-weight: 400;"">identify</span> <span style=""font-weight: 400;"">patients</span> <span style=""font-weight: 400;"">with</span> <span style=""font-weight: 400;"">a</span> <span style=""font-weight: 400;"">specific</span> <span style=""font-weight: 400;"">condition</span> <span style=""font-weight: 400;"">and</span> <span style=""font-weight: 400;"">match</span> <span style=""font-weight: 400;"">them</span> <span style=""font-weight: 400;"">with</span> <span style=""font-weight: 400;"">controls</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">analyze</span> <span style=""font-weight: 400;"">past</span> <span style=""font-weight: 400;"">exposures</span><span style=""font-weight: 400;"">.</span></p><p><span style=""font-weight: 400;"">E</span> <span style=""font-weight: 400;"">is</span> <span style=""font-weight: 400;"">incorrect</span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">A</span> <span style=""font-weight: 400;"">non</span><span style=""font-weight: 400;"">-</span><span style=""font-weight: 400;"">inferiority</span> <span style=""font-weight: 400;"">trial</span> <span style=""font-weight: 400;"">evaluates</span> <span style=""font-weight: 400;"">an</span> <span style=""font-weight: 400;"">intervention</span> <span style=""font-weight: 400;"">against</span> <span style=""font-weight: 400;"">an</span> <span style=""font-weight: 400;"">active</span> <span style=""font-weight: 400;"">control</span> <span style=""font-weight: 400;"">to</span> <span style=""font-weight: 400;"">assess</span> <span style=""font-weight: 400;"">effectiveness</span><span style=""font-weight: 400;"">.</span></p></body></html>",single_choice,"[{""option"":""Randomized Controlled Trial"",""correct"":false},{""option"":""Cohort Study"",""correct"":false},{""option"":""Cross-Sectional Study"",""correct"":true},{""option"":""Case Control Study"",""correct"":false},{""option"":""Non-Inferiority Trial"",""correct"":false}]"
